Payment{paymentId=1, paymentAmount=12.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-28}
Payment{paymentId=3, paymentAmount=333.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=7, paymentAmount=12.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=8, paymentAmount=5.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=9, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=10, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=12, paymentAmount=5.0, paymentMethod='EFT', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=13, paymentAmount=12.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=14, paymentAmount=1313.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=15, paymentAmount=315513.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=16, paymentAmount=246.0, paymentMethod='EFT', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=17, paymentAmount=315135.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=18, paymentAmount=426624.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-29}
Payment{paymentId=19, paymentAmount=64642.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-09-29}
Payment{paymentId=20, paymentAmount=7.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-09-30}
Payment{paymentId=21, paymentAmount=12.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-01}
Payment{paymentId=22, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Pending', paymentDate=2025-10-01}
Payment{paymentId=23, paymentAmount=135.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-01}
Payment{paymentId=24, paymentAmount=1241.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-01}
Payment{paymentId=25, paymentAmount=66666.0, paymentMethod='Card', paymentStatus='Pending', paymentDate=2025-10-01}
Payment{paymentId=26, paymentAmount=2.133333335E9, paymentMethod='Select Payment Method', paymentStatus='Select Payment Status', paymentDate=2025-10-01}
Payment{paymentId=27, paymentAmount=32523.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-14}
Payment{paymentId=29, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-01}
Payment{paymentId=30, paymentAmount=21.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-01}
Payment{paymentId=31, paymentAmount=333333.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-01}
Payment{paymentId=32, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-01}
Payment{paymentId=33, paymentAmount=6785.0, paymentMethod='EFT', paymentStatus='Pending', paymentDate=2025-10-01}
Payment{paymentId=34, paymentAmount=3535.0, paymentMethod='Card', paymentStatus='Pending', paymentDate=2025-10-02}
Payment{paymentId=35, paymentAmount=32523.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=36, paymentAmount=325235.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=37, paymentAmount=325235.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=38, paymentAmount=12421.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=39, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-02}
Payment{paymentId=40, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=41, paymentAmount=6.0, paymentMethod='Cash', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=42, paymentAmount=12.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=43, paymentAmount=3252.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=44, paymentAmount=325.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=45, paymentAmount=123.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-02}
Payment{paymentId=46, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=47, paymentAmount=35.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=48, paymentAmount=3.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=49, paymentAmount=3.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=50, paymentAmount=9.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=51, paymentAmount=5555.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-02}
Payment{paymentId=52, paymentAmount=22.0, paymentMethod='Cash', paymentStatus='Pending', paymentDate=2025-10-03}
Payment{paymentId=53, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Completed', paymentDate=2025-10-04}
Payment{paymentId=54, paymentAmount=1.0, paymentMethod='Card', paymentStatus='Failed', paymentDate=2025-10-04}
